Inventory_ID,Product_ID,Product_Name,Category,Location_ID,Quantity_On_Hand,Reorder_Level,Unit_Price,Stock_Status,Last_Updated
INV00086,P00413,Pro Webcam (Green),Electronics,LOC00086,43,10,2602.4,In Stock,2026-08-30
INV00087,P00512,Premium Bed Sheet Set (Blue),Home,LOC00087,138,40,3038.52,In Stock,2026-08-26
INV00088,P00434,Classic Belt (Red),Accessories,LOC00088,258,30,3657.41,In Stock,2026-08-05
INV00089,P00402,Premium Highlighter Set (Grey),Stationery,LOC00089,244,30,344.12,In Stock,2026-08-22
INV00090,P00045,Premium Photo Frame (Silver),Home,LOC00090,181,30,1366.39,In Stock,2026-08-08
INV00091,P00091,Compact File Folder (Black),Stationery,LOC00091,216,30,2192.03,In Stock,2026-08-04
INV00092,P00507,Pro Desk Organizer (Blue),Stationery,LOC00092,127,30,1491.18,In Stock,2026-08-06
INV00093,P00708,Standard Sports Shoes (Black),Footwear,LOC00093,285,30,3641.04,In Stock,2026-08-08
INV00094,P00363,Pro Sunglasses (White),Accessories,LOC00094,235,10,3382.14,In Stock,2026-08-19
INV00095,P00408,Mini Bed Sheet Set (Beige),Home,LOC00095,149,15,4434.36,In Stock,2026-08-21
INV00096,P00432,Mini Door Mat (Blue),Home,LOC00096,144,40,1942.94,In Stock,2026-08-27
INV00097,P00560,Premium Cushion (Grey),Home,LOC00097,135,15,2202.61,In Stock,2026-08-30
INV00098,P00273,Classic Router (Silver),Electronics,LOC00098,261,25,416.32,In Stock,2026-08-10
INV00099,P00012,Compact Table Lamp (Grey),Home,LOC00099,287,15,1990.08,In Stock,2026-08-11
INV00100,P00164,Lite Charger (White),Electronics,LOC00100,296,20,4144.05,In Stock,2026-08-25
INV00101,P00417,Mini Belt (Beige),Accessories,LOC00101,277,20,100.68,In Stock,2026-08-18
INV00102,P00588,Standard Bed Sheet Set (Beige),Home,LOC00102,136,15,2709.25,In Stock,2026-08-18
INV00103,P00514,Mini Scissors (Beige),Stationery,LOC00103,21,15,772.55,In Stock,2026-08-29
INV00104,P00265,Premium Wall Clock (Grey),Home,LOC00104,245,25,2280.35,In Stock,2026-08-05
INV00105,P00590,Max Boots (White),Footwear,LOC00105,217,10,4180.8,In Stock,2026-08-01
INV00106,P00092,Mini Headphones (Black),Electronics,LOC00106,37,20,2972.84,In Stock,2026-08-07
INV00107,P00775,Mini Photo Frame (Red),Home,LOC00107,127,40,3800.91,In Stock,2026-08-12
INV00108,P00615,Deluxe Cushion (Red),Home,LOC00108,83,40,3601.2,In Stock,2026-08-27
INV00109,P00111,Standard Charger (Black),Electronics,LOC00109,109,15,4481.77,In Stock,2026-08-16
INV00110,P00350,Lite USB-C Cable (Red),Electronics,LOC00110,127,15,1672.97,In Stock,2026-08-02
INV00111,P00524,Premium Running Shoes (Green),Footwear,LOC00111,205,10,206.46,In Stock,2026-08-11
INV00112,P00170,Premium Calculator (Silver),Stationery,LOC00112,142,20,2527.4,In Stock,2026-08-25
INV00113,P00269,Lite Umbrella (Red),Accessories,LOC00113,49,10,3285.4,In Stock,2026-08-14
INV00114,P00198,Deluxe Sandals (Grey),Footwear,LOC00114,148,40,3958.72,In Stock,2026-08-09
INV00115,P00427,Classic Door Mat (Beige),Home,LOC00115,32,25,4492.22,In Stock,2026-08-16
INV00116,P00766,Premium Storage Box (White),Home,LOC00116,264,10,1366.59,In Stock,2026-08-05
INV00117,P00552,Premium Flip Flops (Grey),Footwear,LOC00117,279,30,2777.85,In Stock,2026-08-21
INV00118,P00747,Premium Candle Holder (White),Home,LOC00118,205,10,811.75,In Stock,2026-08-15
INV00119,P00279,Max Storage Box (Blue),Home,LOC00119,226,10,2632.16,In Stock,2026-08-09
INV00120,P00108,Plus File Folder (Green),Stationery,LOC00120,167,15,4602.67,In Stock,2026-08-20
INV00121,P00642,Classic Highlighter Set (Black),Stationery,LOC00121,135,25,3119.69,In Stock,2026-08-18
INV00122,P00552,Premium Flip Flops (Grey),Footwear,LOC00122,127,30,2038.56,In Stock,2026-08-23
INV00123,P00634,Compact Wireless Mouse (Grey),Electronics,LOC00123,225,30,1966.7,In Stock,2026-08-10
INV00124,P00320,Deluxe Bed Sheet Set (Beige),Home,LOC00124,46,40,2981.93,In Stock,2026-08-11
INV00125,P00322,Max Door Mat (Beige),Home,LOC00125,25,40,3106.12,Low Stock,2026-08-04
INV00126,P00740,Deluxe Running Shoes (Green),Footwear,LOC00126,92,30,3926.13,In Stock,2026-08-02
INV00127,P00370,Pro Slippers (Silver),Footwear,LOC00127,195,15,316.99,In Stock,2026-08-29
INV00128,P00117,Deluxe Storage Box (Grey),Home,LOC00128,242,10,3444.55,In Stock,2026-08-03
INV00129,P00064,Mini Water Bottle (Beige),Home,LOC00129,275,15,4055.77,In Stock,2026-08-25
INV00130,P00213,Deluxe Keychain (Grey),Accessories,LOC00130,160,25,4880.73,In Stock,2026-08-08
INV00131,P00664,Premium Sports Shoes (Beige),Footwear,LOC00131,51,15,1372.54,In Stock,2026-08-17
INV00132,P00382,Lite Handbag (Beige),Accessories,LOC00132,28,30,136.62,Low Stock,2026-08-13
INV00133,P00026,Deluxe File Folder (Beige),Stationery,LOC00133,293,30,1562.7,In Stock,2026-08-10
INV00134,P00595,Max Flip Flops (Black),Footwear,LOC00134,91,20,4609.49,In Stock,2026-08-02
INV00135,P00385,Lite File Folder (Grey),Stationery,LOC00135,140,40,3104.61,In Stock,2026-08-26
INV00136,P00442,Standard Table Lamp (Blue),Home,LOC00136,210,25,3965.97,In Stock,2026-08-02
INV00137,P00269,Lite Umbrella (Red),Accessories,LOC00137,7,15,1641.26,Low Stock,2026-08-27
INV00138,P00373,Classic Door Mat (Black),Home,LOC00138,226,25,4472.07,In Stock,2026-08-11
INV00139,P00585,Plus Sticky Notes (White),Stationery,LOC00139,157,25,4826.31,In Stock,2026-08-25
INV00140,P00197,Pro Door Mat (Black),Home,LOC00140,14,30,1287.33,Low Stock,2026-08-14
INV00141,P00379,Pro Laptop Stand (Green),Electronics,LOC00141,207,20,3937.07,In Stock,2026-08-29
INV00142,P00649,Lite Table Lamp (Blue),Home,LOC00142,214,15,1516.03,In Stock,2026-08-11
INV00143,P00112,Max Calculator (Green),Stationery,LOC00143,171,25,1799.42,In Stock,2026-08-20
INV00144,P00055,Premium Candle Holder (Black),Home,LOC00144,217,10,679.23,In Stock,2026-08-06
INV00145,P00156,Max USB-C Cable (Black),Electronics,LOC00145,92,20,2197.09,In Stock,2026-08-25
INV00146,P00490,Compact Loafers (White),Footwear,LOC00146,242,40,757.25,In Stock,2026-08-10
INV00147,P00324,Standard Webcam (Green),Electronics,LOC00147,34,30,606.92,In Stock,2026-08-13
INV00148,P00182,Premium Scissors (Green),Stationery,LOC00148,51,20,4561.52,In Stock,2026-08-03
INV00149,P00516,Compact Calculator (Silver),Stationery,LOC00149,273,20,3232.15,In Stock,2026-08-26
INV00150,P00062,Max HDMI Cable (Blue),Electronics,LOC00150,274,10,2424.47,In Stock,2026-08-01
INV00151,P00529,Premium Sunglasses (Green),Accessories,LOC00151,246,25,4958.02,In Stock,2026-08-23
INV00152,P00131,Premium Storage Box (Green),Home,LOC00152,40,15,3017.07,In Stock,2026-08-06
INV00153,P00367,Pro Sticky Notes (Blue),Stationery,LOC00153,6,25,2284.97,Low Stock,2026-08-30
INV00154,P00736,Lite Laptop Stand (Green),Electronics,LOC00154,134,25,3228.11,In Stock,2026-08-28
INV00155,P00436,Lite Highlighter Set (Black),Stationery,LOC00155,75,10,4604.66,In Stock,2026-08-24
INV00156,P00055,Premium Candle Holder (Black),Home,LOC00156,270,15,3702.54,In Stock,2026-08-09
INV00157,P00491,Premium Belt (White),Accessories,LOC00157,116,20,3511.53,In Stock,2026-08-14
INV00158,P00748,Compact Keyboard (Grey),Electronics,LOC00158,272,25,2814.13,In Stock,2026-08-02
INV00159,P00651,Standard Scissors (Blue),Stationery,LOC00159,188,15,955.66,In Stock,2026-08-09
INV00160,P00131,Premium Storage Box (Green),Home,LOC00160,285,10,2565.97,In Stock,2026-08-23
INV00161,P00260,Plus Handbag (Beige),Accessories,LOC00161,137,20,3410.52,In Stock,2026-08-02
INV00162,P00440,Premium Sunglasses (Silver),Accessories,LOC00162,156,20,1496.51,In Stock,2026-08-21
INV00163,P00479,Deluxe Sticky Notes (Blue),Stationery,LOC00163,74,20,4242.0,In Stock,2026-08-28
INV00164,P00079,Deluxe Curtain (White),Home,LOC00164,71,10,4678.81,In Stock,2026-08-07
INV00165,P00459,Premium Stapler (Red),Stationery,LOC00165,275,20,3441.64,In Stock,2026-08-20
INV00166,P00636,Pro Formal Shoes (Blue),Footwear,LOC00166,43,40,4514.73,In Stock,2026-08-15
INV00167,P00408,Mini Bed Sheet Set (Beige),Home,LOC00167,124,15,3259.82,In Stock,2026-08-22
INV00168,P00695,Max Power Bank (Red),Electronics,LOC00168,85,40,249.45,In Stock,2026-08-16
INV00169,P00569,Pro Hiking Boots (Silver),Footwear,LOC00169,194,30,4115.27,In Stock,2026-08-22
INV00170,P00487,Premium Candle Holder (Silver),Home,LOC00170,6,20,396.81,Low Stock,2026-08-21
INV00171,P00069,Classic Backpack (Silver),Accessories,LOC00171,198,30,1348.16,In Stock,2026-08-08
INV00172,P00732,Premium Curtain (White),Home,LOC00172,99,40,3082.52,In Stock,2026-08-02
INV00173,P00236,Compact Wall Clock (Grey),Home,LOC00173,279,20,1406.15,In Stock,2026-08-17
INV00174,P00235,Pro Laptop Stand (Blue),Electronics,LOC00174,117,20,156.89,In Stock,2026-08-29
INV00175,P00717,Deluxe Keychain (White),Accessories,LOC00175,53,40,3603.26,In Stock,2026-08-17
INV00176,P00406,Compact Pen Set (White),Stationery,LOC00176,242,25,2618.52,In Stock,2026-08-17
INV00177,P00069,Classic Backpack (Silver),Accessories,LOC00177,176,25,1344.1,In Stock,2026-08-06
INV00178,P00687,Max Boots (Grey),Footwear,LOC00178,133,20,361.09,In Stock,2026-08-09
INV00179,P00545,Max Door Mat (Grey),Home,LOC00179,273,15,3472.33,In Stock,2026-08-29
INV00180,P00487,Premium Candle Holder (Silver),Home,LOC00180,111,30,624.05,In Stock,2026-08-15
INV00181,P00658,Deluxe Earbuds (Grey),Electronics,LOC00181,164,40,3018.21,In Stock,2026-08-08
INV00182,P00151,Standard Power Bank (Green),Electronics,LOC00182,233,30,3338.25,In Stock,2026-08-17
INV00183,P00552,Premium Flip Flops (Grey),Footwear,LOC00183,197,40,2881.7,In Stock,2026-08-26
INV00184,P00436,Lite Highlighter Set (Black),Stationery,LOC00184,270,30,4434.52,In Stock,2026-08-17
INV00185,P00783,Plus File Folder (Blue),Stationery,LOC00185,31,40,2457.08,Low Stock,2026-08-10
INV00186,P00720,Standard Flip Flops (Beige),Footwear,LOC00186,245,15,4213.75,In Stock,2026-08-04
INV00187,P00698,Pro Laptop Stand (Grey),Electronics,LOC00187,129,15,277.5,In Stock,2026-08-13
INV00188,P00092,Mini Headphones (Black),Electronics,LOC00188,276,40,3580.32,In Stock,2026-08-24
INV00189,P00180,Pro Water Bottle (Grey),Home,LOC00189,67,20,4174.04,In Stock,2026-08-29
INV00190,P00665,Pro Wireless Mouse (Green),Electronics,LOC00190,230,15,1252.78,In Stock,2026-08-06
INV00191,P00582,Standard Power Bank (Blue),Electronics,LOC00191,77,10,3330.7,In Stock,2026-08-04
INV00192,P00512,Premium Bed Sheet Set (Blue),Home,LOC00192,200,10,4723.14,In Stock,2026-08-30
INV00193,P00581,Pro Notebook (Silver),Stationery,LOC00193,88,15,4627.35,In Stock,2026-08-17
INV00194,P00729,Deluxe Formal Shoes (Black),Footwear,LOC00194,285,30,921.14,In Stock,2026-08-30
INV00195,P00125,Premium USB-C Cable (White),Electronics,LOC00195,59,10,1226.1,In Stock,2026-08-01
INV00196,P00003,Classic File Folder (Black),Stationery,LOC00196,32,10,1990.11,In Stock,2026-08-23
INV00197,P00445,Standard Curtain (Blue),Home,LOC00197,58,25,2587.82,In Stock,2026-08-02
INV00198,P00647,Classic Desk Organizer (Blue),Stationery,LOC00198,285,30,2455.15,In Stock,2026-08-30
INV00199,P00396,Mini Keychain (Beige),Accessories,LOC00199,5,10,4106.37,Low Stock,2026-08-18
INV00200,P00194,Premium Stapler (Silver),Stationery,LOC00200,196,20,1513.94,In Stock,2026-08-26
INV00201,P00742,Lite Cap (Grey),Accessories,LOC00201,283,15,3283.39,In Stock,2026-08-10
INV00202,P00657,Deluxe Storage Box (Beige),Home,LOC00202,261,10,3951.23,In Stock,2026-08-25
INV00203,P00283,Standard Sneakers (Green),Footwear,LOC00203,281,25,1054.44,In Stock,2026-08-21
INV00204,P00317,Deluxe Webcam (Blue),Electronics,LOC00204,161,25,3970.52,In Stock,2026-08-27
INV00205,P00036,Deluxe Travel Pouch (Red),Accessories,LOC00205,101,10,2338.52,In Stock,2026-08-24
INV00206,P00770,Deluxe Smart Watch (Black),Electronics,LOC00206,93,25,4104.11,In Stock,2026-08-01
INV00207,P00286,Deluxe Cap (Beige),Accessories,LOC00207,194,20,1722.9,In Stock,2026-08-15
INV00208,P00706,Plus Sticky Notes (Beige),Stationery,LOC00208,223,10,2009.68,In Stock,2026-08-14
INV00209,P00276,Classic Formal Shoes (Grey),Footwear,LOC00209,37,10,2024.64,In Stock,2026-08-01
INV00210,P00380,Mini Smart Watch (Black),Electronics,LOC00210,44,20,3548.99,In Stock,2026-08-23
INV00211,P00231,Lite Sticky Notes (Silver),Stationery,LOC00211,0,20,2753.1,Out of Stock,2026-08-26
INV00212,P00103,Max Monitor (Beige),Electronics,LOC00212,137,25,2399.23,In Stock,2026-08-25
INV00213,P00536,Lite Sunglasses (Black),Accessories,LOC00213,7,30,3824.02,Low Stock,2026-08-12
INV00214,P00441,Lite Travel Pouch (White),Accessories,LOC00214,280,25,2813.41,In Stock,2026-08-07
INV00215,P00387,Plus Sticky Notes (Grey),Stationery,LOC00215,290,30,2084.76,In Stock,2026-08-19
INV00216,P00398,Standard Water Bottle (Green),Home,LOC00216,235,30,2685.98,In Stock,2026-08-26
INV00217,P00553,Plus Formal Shoes (Blue),Footwear,LOC00217,285,25,4497.76,In Stock,2026-08-18
INV00218,P00580,Plus Keyboard (White),Electronics,LOC00218,241,10,3335.02,In Stock,2026-08-17
INV00219,P00497,Premium Wall Clock (Black),Home,LOC00219,37,30,1916.88,In Stock,2026-08-12
INV00220,P00606,Standard Smart Watch (Beige),Electronics,LOC00220,92,25,4234.08,In Stock,2026-08-12
INV00221,P00584,Standard Candle Holder (White),Home,LOC00221,193,25,3013.04,In Stock,2026-08-01
INV00222,P00130,Max Smart Watch (White),Electronics,LOC00222,44,10,4416.78,In Stock,2026-08-05
INV00223,P00783,Plus File Folder (Blue),Stationery,LOC00223,232,20,2656.69,In Stock,2026-08-28
INV00224,P00573,Premium Travel Pouch (White),Accessories,LOC00224,194,15,4890.11,In Stock,2026-08-01
INV00225,P00567,Plus Curtain (Beige),Home,LOC00225,292,10,4708.65,In Stock,2026-08-12
INV00226,P00473,Classic Bed Sheet Set (White),Home,LOC00226,171,20,4859.43,In Stock,2026-08-17
INV00227,P00121,Mini Highlighter Set (White),Stationery,LOC00227,249,25,3558.73,In Stock,2026-08-15
INV00228,P00688,Standard Sports Shoes (White),Footwear,LOC00228,70,40,1985.97,In Stock,2026-08-16
INV00229,P00190,Mini Loafers (Grey),Footwear,LOC00229,49,10,4005.45,In Stock,2026-08-18
INV00230,P00661,Pro Handbag (White),Accessories,LOC00230,74,30,3080.9,In Stock,2026-08-09
INV00231,P00607,Mini Calculator (Beige),Stationery,LOC00231,70,25,966.43,In Stock,2026-08-14
INV00232,P00145,Lite Cushion (Beige),Home,LOC00232,244,30,2978.41,In Stock,2026-08-11
INV00233,P00461,Pro Slippers (Green),Footwear,LOC00233,135,10,1404.37,In Stock,2026-08-24
INV00234,P00136,Lite Table Lamp (Red),Home,LOC00234,283,10,1537.88,In Stock,2026-08-12
INV00235,P00498,Compact Keyboard (Silver),Electronics,LOC00235,163,10,718.45,In Stock,2026-08-14
INV00236,P00592,Pro Sneakers (White),Footwear,LOC00236,64,15,2534.03,In Stock,2026-08-28
INV00237,P00001,Lite Wireless Mouse (Red),Electronics,LOC00237,294,40,409.51,In Stock,2026-08-01
INV00238,P00409,Max HDMI Cable (Silver),Electronics,LOC00238,175,15,4757.13,In Stock,2026-08-14
INV00239,P00471,Plus Bed Sheet Set (Blue),Home,LOC00239,108,15,1463.39,In Stock,2026-08-27
INV00240,P00482,Deluxe Monitor (Grey),Electronics,LOC00240,257,15,3093.03,In Stock,2026-08-06
INV00241,P00739,Mini Hiking Boots (Red),Footwear,LOC00241,2,20,2477.83,Low Stock,2026-08-02
INV00242,P00668,Compact Table Lamp (Red),Home,LOC00242,93,30,1381.91,In Stock,2026-08-06
INV00243,P00464,Pro Marker Pack (Red),Stationery,LOC00243,46,15,454.19,In Stock,2026-08-05
INV00244,P00556,Standard Hiking Boots (Beige),Footwear,LOC00244,3,20,387.7,Low Stock,2026-08-16
INV00245,P00360,Pro Keyboard (Red),Electronics,LOC00245,30,30,2913.37,Low Stock,2026-08-03
INV00246,P00002,Pro Sandals (White),Footwear,LOC00246,91,30,4439.95,In Stock,2026-08-28
INV00247,P00112,Max Calculator (Green),Stationery,LOC00247,44,40,2193.28,In Stock,2026-08-11
INV00248,P00766,Premium Storage Box (White),Home,LOC00248,185,10,359.88,In Stock,2026-08-08
INV00249,P00584,Standard Candle Holder (White),Home,LOC00249,102,15,2364.64,In Stock,2026-08-02
INV00250,P00441,Lite Travel Pouch (White),Accessories,LOC00250,160,30,121.56,In Stock,2026-08-22
INV00251,P00496,Compact Slippers (Silver),Footwear,LOC00251,44,20,2911.61,In Stock,2026-08-29
INV00252,P00320,Deluxe Bed Sheet Set (Beige),Home,LOC00252,167,30,1211.32,In Stock,2026-08-23
INV00253,P00662,Premium Power Bank (Green),Electronics,LOC00253,290,15,2123.7,In Stock,2026-08-17
INV00254,P00569,Pro Hiking Boots (Silver),Footwear,LOC00254,109,30,1787.61,In Stock,2026-08-28
INV00255,P00610,Max Smart Watch (Black),Electronics,LOC00255,142,20,2124.76,In Stock,2026-08-16
INV00256,P00751,Compact Wallet (Beige),Accessories,LOC00256,263,10,4888.28,In Stock,2026-08-30
INV00257,P00208,Lite Boots (Silver),Footwear,LOC00257,275,20,4517.31,In Stock,2026-08-03
INV00258,P00743,Mini Pen Set (Beige),Stationery,LOC00258,18,10,321.48,In Stock,2026-08-09
INV00259,P00361,Standard Curtain (White),Home,LOC00259,206,30,996.56,In Stock,2026-08-08
INV00260,P00480,Deluxe Hiking Boots (Green),Footwear,LOC00260,109,20,2244.47,In Stock,2026-08-29
